LSMaMatHang,TenMatHang,LSMaNhomNganhHang,DVT,MoTa,SuDung,DonGiaBan,IsSyn,DonGiaVIP,IsVatTu,DonGiaNhap,ThuTu,KeySearch
 O LONG DAO,TRA O LONG DAO,03,VND,,1,25000,1,25000,0,25000,100, O LONG DAO;TRA O LONG DAO;told;tra o long dao
BA SO,BA SO,03,VND,,1,60000,1,60000,0,60000,100,BA SO;BA SO;bs;ba so
BAC XIU,BAC XIU,03,VND,,1,35000,1,35000,0,35000,100,BAC XIU;BAC XIU;bx;bac xiu
BANH MY BO,BANH MY BO,02,VND,,1,45000,1,45000,0,45000,100,BANH MY BO;BANH MY BO;bmb;banh my bo
BÁNH MỲ BÒ TRỨNG,BÁNH MỲ BÒ TRỨNG,02,VND,,1,55000,1,55000,0,55000,100,BÁNH MỲ BÒ TRỨNG;BÁNH MỲ BÒ TRỨNG;bmbt;banh my bo trung
BANH MY SUA,BANH MY SUA,02,VND,,1,15000,1,15000,0,15000,100,BANH MY SUA;BANH MY SUA;bms;banh my sua
BANH MY TRUNG,BANH MY TRUNG,02,VND,,1,30000,1,30000,0,30000,100,BANH MY TRUNG;BANH MY TRUNG;bmt;banh my trung
BANH MY TRUNG XUC XICH,BANH MY TRUNG XUC XICH,02,VND,,1,45000,1,45000,0,45000,100,BANH MY TRUNG XUC XICH;BANH MY TRUNG XUC XICH;bmtxx;banh my trung xuc xich
BANH MY XUC XICH,BANH MY XUC XICH,02,VND,,1,40000,1,40000,0,40000,100,BANH MY XUC XICH;BANH MY XUC XICH;bmxx;banh my xuc xich
BIA HA NOI,BIA HA NOI,03,VND,,1,25000,1,25000,0,25000,100,BIA HA NOI;BIA HA NOI;bhn;bia ha noi
BIA KEN,BIA KEN,03,VND,,1,35000,1,35000,0,35000,100,BIA KEN;BIA KEN;bk;bia ken
BIA SAI GON,BIA SAI GON,03,VND,,1,30000,1,30000,0,30000,100,BIA SAI GON;BIA SAI GON;bsg;bia sai gon
BIA333,bia 333,02,lon,,1,30000,1,30000,0,30000,100,BIA333;bia 333;b3;bia 333
BIM BIM,BIM BIM THAI,03,VND,,1,15000,1,15000,0,15000,100,BIM BIM;BIM BIM THAI;bbt;bim bim thai
BO HUC,BO HUC,03,VND,,1,29000,1,29000,0,29000,100,BO HUC;BO HUC;bh;bo huc
BO KHO,BO KHO,03,VND,,1,55000,1,55000,0,55000,100,BO KHO;BO KHO;bk;bo kho
BỎNG NGÔ MỸ,Bỏng Ngô Mỹ,02,VND,,1,40000,1,40000,0,40000,100,BỎNG NGÔ MỸ;Bỏng Ngô Mỹ;bnm;bong ngo my
CA CAO,CA CAO,03,VND,,1,30000,1,30000,0,30000,100,CA CAO;CA CAO;cc;ca cao
CAFE DEN,CAFE DEN,03,VND,,1,25000,1,25000,0,25000,100,CAFE DEN;CAFE DEN;cd;cafe den
CAFE NAU,CAFE NAU,03,VND,,1,30000,1,30000,0,30000,100,CAFE NAU;CAFE NAU;cn;cafe nau
CAM EP,CAM EP,03,VND,,1,27000,1,27000,0,27000,100,CAM EP;CAM EP;ce;cam ep
CAM TUOI,CAM TUOI,03,VND,,1,55000,1,55000,0,55000,100,CAM TUOI;CAM TUOI;ct;cam tuoi
CAMEL,CAMEL BẤM,02,VND,,1,50000,1,50000,0,50000,100,CAMEL;CAMEL BẤM;cb;camel bam
CARMEI NHO,CAMEL NHỎ,02,VND,,1,38000,1,38000,0,38000,100,CARMEI NHO;CAMEL NHỎ;cn;camel nho
CB2,CB2,03,VND,,1,89000,1,89000,0,89000,100,CB2;CB2;c;cb2
CB3,CB3,03,VND,,1,79000,1,79000,0,79000,100,CB3;CB3;c;cb3
CB4,CB4,03,VND,,1,59000,1,59000,0,59000,100,CB4;CB4;c;cb4
CB5,CB5,03,VND,,1,49000,1,49000,0,49000,100,CB5;CB5;c;cb5
CHANH TUOI,CHANH TUOI,03,VND,,1,35000,1,35000,0,35000,100,CHANH TUOI;CHANH TUOI;ct;chanh tuoi
CHANH TUYET,CHANH TUYET,03,VND,,1,55000,1,55000,0,55000,100,CHANH TUYET;CHANH TUYET;ct;chanh tuyet
COCA,COCA,03,VND,,1,27000,1,27000,0,27000,100,COCA;COCA;c;coca
COM BO SOT TIEU,COM BO SOT TIEU,02,VND,,1,65000,1,65000,0,65000,100,COM BO SOT TIEU;COM BO SOT TIEU;cbst;com bo sot tieu
COM BO XAO RAU,COM BO XAO RAU,02,VND,,1,60000,1,60000,0,60000,100,COM BO XAO RAU;COM BO XAO RAU;cbxr;com bo xao rau
COM CA BONG LAU KHO TO,THE HOC VIEN ,02,VND,,1,1500000,1,1500000,0,1500000,100,COM CA BONG LAU KHO TO;THE HOC VIEN ;thv;the hoc vien
COM CA THU RAN,Bỏng Ngô Mỹ,02,VND,,1,40000,1,40000,0,40000,100,COM CA THU RAN;Bỏng Ngô Mỹ;bnm;bong ngo my
COM CA THU RIM TIEU,Mix,02,VND,,1,20000,1,20000,0,20000,100,COM CA THU RIM TIEU;Mix;m;mix
COM CA THU SOT,COM CA THU SOT,02,VND,,1,60000,1,60000,0,60000,100,COM CA THU SOT;COM CA THU SOT;ccts;com ca thu sot
COM GA RANG GUNG,COM GA RANG GUNG,02,VND,,1,55000,1,55000,0,55000,100,COM GA RANG GUNG;COM GA RANG GUNG;cgrg;com ga rang gung
COM NIEU BO NUONG,COM NIEU BO NUONG,02,VND,,1,60000,1,60000,0,60000,100,COM NIEU BO NUONG;COM NIEU BO NUONG;cnbn;com nieu bo nuong
COM NIEU BO SOT TIEU,COM NIEU BO SOT TIEU,02,VND,,1,60000,1,60000,0,60000,100,COM NIEU BO SOT TIEU;COM NIEU BO SOT TIEU;cnbst;com nieu bo sot tieu
